French,English
partie,part
histoire,history
chercher,search
seulement,only
police,police
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
arrivé,come
devrait,should
longtemps,long time
heures,hours
pendant,while
revoir,meet again
place,square
compris,understood
savais,knew
étaient,were
pourrais,could
affaire,case
donner,give
type,type
leurs,their
train,train
corps,body
endroit,place
façon,way
dont,whose
premier,first
perdu,lost
main,hand
première,first
pouvoir,power
sois,be
matin,morning
tellement,so much
point,point
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
demandé,request
chambre,bedroom
mis,placed
droit,law
aimerais,would like to
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
arrêter,Stop
terre,Earth
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
